Datum,Gewinner,Verlierer
2024-04-10,Woher soll das Brot für heute kommen@Liederbock,Es wollt' ein Mägdlein früh aufstehn@Zupfgeigenhansel
2024-04-10,Das Kalbfell klingt@Sankt Georg,Es war an einem Sommertag@Liederbock
2024-04-10,Wir ziehen über die Straße@Sankt Georg,Gebt Raum ihr Völker@Liederbock
2024-04-10,"Freunde, seid in dieser Runde@Liederbock",Frisch auf gut G'sell@Liederbock
2024-04-11,Fordre niemand@Liederbock,Die Lappen hoch@Liederbock
2024-04-11,Es tropft von Helm und Säbel@Liederbock,Wilde Gesellen@Liederbock
2024-04-11,Es saß ein klein wild Vögelein@Liederbock,Es soll sich der Mensch nicht@Liederbock
2024-04-11,Es ist ein Schnitter@Liederbock,Es liegen drei glänzende Kugeln@Liederbock
2024-04-12,Muß i denn@Die Fanfare,"Jetzt reisen wir zum Tor hinaus, ade@Zupfgeigenhansel"
2024-04-12,Muß i denn@Sankt Georg,Der helle Tag bricht an@Zupfgeigenhansel
2024-04-12,"Es, es, es und es@Zupfgeigenhansel",Morgen will mein Schatz verreisen@Zupfgeigenhansel
2024-04-12,Fährt ein Schiff@Liederbock,Wir traben in die Weite@Liederbock
2024-04-12,Wir traben in die Weite@Die Fanfare,Wir traben in die Weite@Sankt Georg
2024-04-12,Dort unten im Gradental@Liederbock,"Gut Gsell, und du musst wandern@Zupfgeigenhansel"
2024-04-12,Ich weiß ein Maidlein hübsch und fein@Zupfgeigenhansel,Es saß ein Käterlein auf dem Dach@Zupfgeigenhansel
2024-04-12,Wach auf meins Herzens Schöne@Zupfgeigenhansel,Mir ist ein schöns brauns Maidelein gefallen in den Sinn@Zupfgeigenhansel
2024-04-12,Es führt über den Main@Liederbock,Es steht ein Lind in jenem Tal@Zupfgeigenhansel
2024-04-12,Wir sind des Geyers schwarzer Haufen@Liederbock,Endlos lang zieht sich die Straße@Liederbock
2024-04-12,Wir kamen einst von Piemont@Liederbock,Eiris sazun idisi@Liederbock
2024-04-13,Dat du min Leevsten büst@Zupfgeigenhansel,Sie gleicht wohl einem Rosenstock@Zupfgeigenhansel
2024-04-13,Dort nieden in jenem Holze@Zupfgeigenhansel,Es Buerbüebli mag i ned@Zupfgeigenhansel
2024-04-13,Es saß ein klein wild Vögelein@Zupfgeigenhansel,Nachtigall ich hör dich singen@Zupfgeigenhansel
2024-04-13,Ich habe mein Feinsliebchen@Zupfgeigenhansel,Feinsliebchen du sollst mir nicht barfuß gehen@Zupfgeigenhansel
2024-04-13,Frau Nachtigall kleins Vögelein@Zupfgeigenhansel,Auf dieser Welt hab ich kein Freud@Zupfgeigenhansel
2024-04-13,Kein Feuer keine Kohle@Zupfgeigenhansel,So grün als ist die Heiden@Zupfgeigenhansel
